,user_index,Covariate1,Covariate2,Covariate3,price_item_0,price_item_1,item_bought
10303,10303,3.211213968119245,1.5944255027000651,8.888642457708585,39.48951104356819,48.67228617334777,1
9837,9837,4.8052179030707824,1.5459742179132694,6.642416413667382,51.15896173757057,45.74773968671315,1
21833,21833,0.6780899434547882,0.1807802364111368,8.333445348852026,53.01612515277837,65.20534404277471,1
11577,11577,0.7399197332099281,1.3065565388324103,7.599310077397663,57.200833051457685,45.59398206771659,1
13646,13646,4.163777385957837,5.626690479803158,30.350817995895927,40.59701658343241,61.482608375451825,0
5228,5228,1.0009461845768048,6.981315876166644,6.632606676205568,42.42238625232323,64.70251690292977,-1
5427,5427,4.492204662476996,1.2776871444171376,30.764174653181,40.38335587310381,12.12000674203684,1
17817,17817,6.60147710636745,2.3228266162126245,11.663164077406948,41.68958165608446,34.700020915268404,1
13744,13744,4.420346858395133,5.58408943988417,3.366060944242936,39.85620997815058,22.488004769216083,1
12627,12627,2.931943636941871,1.277828469841002,6.793568907719113,86.80844818704794,38.33836779113657,1
6857,6857,3.1446699290568363,5.238701643670944,3.989576466278805,47.680052965968905,38.0629153833985,1
17717,17717,1.167500809920576,4.651759951665624,4.956081685453063,60.15081855025127,45.166735944833775,-1
13999,13999,1.238573411444695,2.882265622067639,16.165796747961636,43.06432603741978,43.46984642087763,1
23547,23547,1.5725674595916606,3.1149529048601177,7.90792452872905,49.67074467198314,45.68281689541261,1
4051,4051,4.1412116611551575,1.780089723420971,13.781247357724022,40.74814181842998,45.16741628499157,1
7332,7332,0.3492731850301245,5.024210570748872,13.49212771148849,61.96906096482783,14.793430150391735,1
29740,29740,5.262563059120901,2.4413778066688088,9.550089580808022,54.198749228414854,60.2973280927734,-1
3967,3967,1.919526497633,4.003074155645141,14.070511337232787,39.89401229788461,52.982044313749626,0
20384,20384,0.159366051298166,5.020587069586888,20.15419463712622,66.30194171260823,68.87337121694884,-1
13259,13259,1.1478757104548294,4.127265026580927,2.325307144393989,38.424654551008686,32.89699100707974,-1
5496,5496,0.2185172980619277,0.9332661329075858,8.938688854634492,50.33435276450039,34.606888563769964,-1
5632,5632,0.8404969085950578,3.2981710977979155,8.692313407983992,47.319764301650295,43.539711364745614,1
19878,19878,1.631705862414155,4.346703028220293,14.71895173708795,62.10491137576976,48.563646732168245,-1
27310,27310,0.6146943309724235,3.2423792270151863,11.203306079498695,33.06563332801093,48.56477892902843,0
28602,28602,0.8633162248646133,0.4007953094513183,10.59167754068336,42.98031149696838,80.6339808546393,1
15889,15889,0.0470517242023381,5.64858200029115,8.387892629495457,41.34825624881438,46.645021578852685,-1
2420,2420,4.464370366004529,0.9719357388873332,5.035076773538645,38.99199546091105,50.577959682189054,1
27722,27722,5.061822257306483,1.098578171093673,12.327919341860682,46.76246373787325,44.188956202251745,1
17350,17350,3.08241493885166,0.2702270798637822,9.003779395772764,57.188740145254954,45.92150782826236,1
10856,10856,2.733203312443436,3.672311206374091,11.833333077153185,41.906754174527606,46.739846647295174,0
18679,18679,10.954668357515128,8.955822614862331,6.841523175931455,103.30223893783597,38.13378574775857,1
11847,11847,4.370812750942407,3.616570458554908,3.714279803815684,46.99023279878215,46.67964660187688,-1
